ID	STRUCTURE	FREQUENCY	ChiapasZoque	LowlandMixe	NorthHighlandMixe	OlutaPopoluca	SanMiguelChimalapaZoque	SantaMariaChimalapaZoque	SayulaPopoluca	SoteapanZoque	SouthHighlandMixe	TexistepecZoque	COGNATESETS	CONCEPTS
149-5	c	5	h	tʃ	ts	s	Ø	ts	-	tʃ	tʃ	tʃ	719:2, 143:0, 864:4, 415:4, 320:1	DOG / I / MEAT / THOU / YELLOW
176-1	c	1	d	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	tʃ	510:4	PERSON
43-20	c	20	-	h	h	-	-	-	h	-	h	-	71:2, 206:2, 182:2, 210:0, 210:2, 355:1, 309:0, 470:0, 848:0, 848:4, 489:0, 489:2, 191:0, 824:2, 369:0, 693:2, 278:2, 511:0, 390:7, 225:0	BONE / EYE / FAR / FEATHER / FIRE / FLY (MOVE THROUGH AIR) / HAIR / HEAVY / LEAF / LIVER / MAN / NEW / NOSE / PERSON / THIN / WIND / YEAR
56-15	c	15	-	-	-	-	ʔ	-	-	-	-	ʔ	145:0, 61:8, 114:6, 174:4, 236:8, 851:0, 851:7, 339:5, 275:3, 308:4, 813:0, 72:7, 325:0, 520:2, 841:4	BLOOD / BREAST / COLD / DRINK / EGG / FOOT / HAIR / HEAVY / I / KNEE / RED / WHO / WORM / YEAR
54-7	c	7	-	-	-	ʔ	-	-	-	-	-	-	284:2, 61:6, 59:4, 634:4, 850:4, 213:2, 429:4	BLACK / BLOOD / FISH / HEAD / MOUNTAIN / SNAKE / YEAR
96-6	c	6	-	-	-	ʔ	ʔ	ʔ	h	-	-	ʔ	579:4, 805:4, 829:4, 469:4, 857:5, 713:3	NEW / SHORT / THIS / WHITE / WOMAN / YELLOW
162-6	c	6	-	-	h	ʔ	h	ʔ	-	j	-	ʔ	146:4, 214:1, 277:2, 747:2, 174:2, 701:4	DRY / EGG / FISH / HAIR / THIN / TWO
95-4	c	4	-	h	h	ʔ	-	ʔ	-	-	h	-	284:5, 454:4, 694:2, 709:6	HEAD / NEAR / THIN / THIS
145-4	c	4	-	-	-	ʔ	ʔ	ʔ	Ø	-	ʔ	-	646:4, 522:2, 309:2, 357:3	HEAVY / LEAF / ROAD / STAR
9-3	c	3	-	-	-	-	-	-	h	-	-	-	735:2, 729:2, 11:6	ASH / TONGUE / TOOTH
150-3	c	3	-	Ø	-	Ø	Ø	j	-	-	Ø	-	165:7, 587:4, 332:0	EAT / KILL / SIT
55-2	c	2	-	-	-	k	Ø	-	-	Ø	-	Ø	579:5, 454:5	NEAR / SHORT
67-2	c	2	-	-	ʃ	s	-	-	h	-	h	-	677:3, 369:2	LIVER / TAIL
69-2	c	2	-	Ø	Ø	Ø	ʔ	-	-	ʔ	Ø	-	384:1, 300:6	HEART / LOUSE
99-2	c	2	-	Ø	Ø	Ø	-	h	Ø	-	Ø	-	132:3, 332:7	DIE / KILL
148-2	c	2	-	Ø	Ø	Ø	k	-	Ø	-	Ø	ŋ	488:4, 319:2	HORN (ANATOMY) / NOSE
3-1	c	1	-	ʔ	-	-	-	-	-	-	-	-	154:3	EAR
12-1	c	1	-	-	-	Ø	Ø	-	Ø	-	h	-	56:2	BLACK
16-1	c	1	-	k	Ø	Ø	-	-	-	Ø	k	-	572:3	SEED
79-1	c	1	-	Ø	Ø	Ø	-	ʔ	Ø	Ø	Ø	ʔ	300:4	HEART
165-2	+	2	Ø	Ø	-	Ø	Ø	Ø	Ø	Ø	Ø	Ø	122:2, 225:2	COME / FLY (MOVE THROUGH AIR)
33-1	+	1	Ø	-	Ø	Ø	Ø	-	-	-	Ø	-	224:2	FLY (MOVE THROUGH AIR)
41-1	+	1	Ø	-	-	-	Ø	Ø	-	Ø	-	Ø	606:4	SLEEP
81-1	+	1	Ø	+	-	Ø	Ø	Ø	-	Ø	-	Ø	489:4	NOSE
183-1	+	1	Ø	Ø	Ø	Ø	Ø	Ø	Ø	-	Ø	+	864:5	YELLOW
166-2	+	2	-	Ø	Ø	Ø	+	-	Ø	Ø	Ø	Ø	72:5, 749:5	BREAST / TWO
75-1	+	1	-	Ø	Ø	Ø	Ø	+	Ø	-	Ø	-	165:5	EAT
154-14	+	14	+	+	+	+	+	+	+	+	+	+	11:3, 236:3, 749:3, 330:3, 813:2, 860:4, 21:5, 83:3, 150:3, 314:5, 329:3, 332:3, 510:3, 709:3	ASH / BARK / BURN (SOMETHING) / DRY / FOOT / HEAVY / KILL / PERSON / THIS / TWO / WHO / YELLOW
