,TAG,UNITE,DESCRIPTION,MIN,MAX,TYPE
293,C0000000b-D001-11-kWh-JTWH,kWh,Clim Sweetair energie,,,
294,C0000000b-D001-11-kvar L1-JTVar,kvar,Clim Sweetair L1 puissance reactive,,,
295,C0000000b-D001-11-kvar L2-JTVar,kvar,Clim Sweetair L2 puissance reactive,,,
296,C0000000b-D001-11-kvar L3-JTVar,kvar,Clim Sweetair L3 puissance reactive,,,
297,C0000000b-D001-11-kvar sys-JTVar,kvar,Clim Sweetair puissance reactive,,,
298,C0000000b-D001-11-kWh (-)-JTWH,kWh,Clim Sweetair quezaco3,,,
299,C0000000b-D001-11-kvarh-JTVarH,kvarh,Clim Sweetair quezaco4,,,
300,C0000000a-D002-10-kVA L1-JTVA,kVA,RDC aile Chartreuse L1 puissance active,,,
301,C0000000a-D002-10-kVA L2-JTVA,kVA,RDC aile Chartreuse L2 puissance active,,,
302,C0000000a-D002-10-kVA L3-JTVA,kVA,RDC aile Chartreuse L3 puissance active,,,
303,C0000000a-D002-10-kVA sys-JTVA,kVA,RDC aile Chartreuse puissance active,,,
304,C0000000a-D002-10-kW L1-JTW,kW,RDC aile Chartreuse L1 puissance,,,
305,C0000000a-D002-10-kW L2-JTW,kW,RDC aile Chartreuse L2 puissance,,,
306,C0000000a-D002-10-kW L3-JTW,kW,RDC aile Chartreuse L3 puissance,,,
307,C0000000a-D002-10-kW dmd-JTW,kW,RDC aile Chartreuse puissance demandée,,,
308,C0000000a-D002-10-kW sys-JTW,kW,RDC aile Chartreuse puissance,,,
309,C0000000a-D002-10-kWh (-)-JTWH,kWh,RDC aile Chartreuse quezaco2,,,
310,C0000000a-D002-10-kWh L1-JTWH,kWh,RDC aile Chartreuse L1 energie,,,
311,C0000000a-D002-10-kWh L2-JTWH,kWh,RDC aile Chartreuse L2 energie,,,
312,C0000000a-D002-10-kWh L3-JTWH,kWh,RDC aile Chartreuse L3 energie,,,
313,C0000000a-D002-10-kWh-JTWH,kWh,RDC aile Chartreuse energie,,,
314,C0000000a-D002-10-kvar L1-JTVar,kvar,RDC aile Chartreuse L1 puissance reactive,,,
315,C0000000a-D002-10-kvar L2-JTVar,kvar,RDC aile Chartreuse L2 puissance reactive,,,
316,C0000000a-D002-10-kvar L3-JTVar,kvar,RDC aile Chartreuse L3 puissance reactive,,,
317,C0000000a-D002-10-kvar sys-JTVar,kvar,RDC aile Chartreuse puissance reactive,,,
318,C0000000a-D002-10-kWh (-)-JTWH,kWh,RDC aile Chartreuse quezaco3,,,
319,C0000000a-D002-10-kvarh-JTVarH,kvarh,RDC aile Chartreuse quezaco4,,,
320,C00000011-A006-18-kVA L1-JTVA,kVA,Serma L1 puissance active,,,
321,C00000011-A006-18-kVA L2-JTVA,kVA,Serma L2 puissance active,,,
322,C00000011-A006-18-kVA L3-JTVA,kVA,Serma L3 puissance active,,,
323,C00000011-A006-18-kVA sys-JTVA,kVA,Serma puissance active,,,
324,C00000011-A006-18-kW L1-JTW,kW,Serma L1 puissance,,,
325,C00000011-A006-18-kW L2-JTW,kW,Serma L2 puissance,,,
326,C00000011-A006-18-kW L3-JTW,kW,Serma L3 puissance,,,
327,C00000011-A006-18-kW dmd-JTW,kW,Serma puissance demandée,,,
328,C00000011-A006-18-kW sys-JTW,kW,Serma puissance,,,
329,C00000011-A006-18-kWh (-)-JTWH,kWh,Serma quezaco2,,,
330,C00000011-A006-18-kWh L1-JTWH,kWh,Serma L1 energie,,,
331,C00000011-A006-18-kWh L2-JTWH,kWh,Serma L2 energie,,,
332,C00000011-A006-18-kWh L3-JTWH,kWh,Serma L3 energie,,,
333,C00000011-A006-18-kWh-JTWH,kWh,Serma energie,,,
334,C00000011-A006-18-kvar L1-JTVar,kvar,Serma L1 puissance reactive,,,
335,C00000011-A006-18-kvar L2-JTVar,kvar,Serma L2 puissance reactive,,,
336,C00000011-A006-18-kvar L3-JTVar,kvar,Serma L3 puissance reactive,,,
337,C00000011-A006-18-kvar sys-JTVar,kvar,Serma puissance reactive,,,
338,C00000011-A006-18-kWh (-)-JTWH,kWh,Serma quezaco3,,,
339,C00000011-A006-18-kvarh-JTVarH,kvarh,Serma quezaco4,,,
340,C00000016-GENERAL_ADMINISTRATIF-23-kVA L1-JTVA,kVA,zone A-B-C-D L1 puissance active,,,
341,C00000016-GENERAL_ADMINISTRATIF-23-kVA L2-JTVA,kVA,zone A-B-C-D L2 puissance active,,,
342,C00000016-GENERAL_ADMINISTRATIF-23-kVA L3-JTVA,kVA,zone A-B-C-D L3 puissance active,,,
343,C00000016-GENERAL_ADMINISTRATIF-23-kVA sys-JTVA,kVA,zone A-B-C-D puissance active,,,
344,C00000016-GENERAL_ADMINISTRATIF-23-kW L1-JTW,kW,zone A-B-C-D L1 puissance,,,
345,C00000016-GENERAL_ADMINISTRATIF-23-kW L2-JTW,kW,zone A-B-C-D L2 puissance,,,
346,C00000016-GENERAL_ADMINISTRATIF-23-kW L3-JTW,kW,zone A-B-C-D L3 puissance,,,
347,C00000016-GENERAL_ADMINISTRATIF-23-kW dmd-JTW,kW,zone A-B-C-D puissance demandée,,,
348,C00000016-GENERAL_ADMINISTRATIF-23-kW sys-JTW,kW,zone A-B-C-D puissance,,,
349,C00000016-GENERAL_ADMINISTRATIF-23-kWh (-)-JTWH,kWh,zone A-B-C-D quezaco2,,,
350,C00000016-GENERAL_ADMINISTRATIF-23-kWh L1-JTWH,kWh,zone A-B-C-D L1 energie,,,
351,C00000016-GENERAL_ADMINISTRATIF-23-kWh L2-JTWH,kWh,zone A-B-C-D L2 energie,,,
352,C00000016-GENERAL_ADMINISTRATIF-23-kWh L3-JTWH,kWh,zone A-B-C-D L3 energie,,,
353,C00000016-GENERAL_ADMINISTRATIF-23-kWh-JTWH,kWh,zone A-B-C-D energie,,,
354,C00000016-GENERAL_ADMINISTRATIF-23-kvar L1-JTVar,kvar,zone A-B-C-D L1 puissance reactive,,,
355,C00000016-GENERAL_ADMINISTRATIF-23-kvar L2-JTVar,kvar,zone A-B-C-D L2 puissance reactive,,,
356,C00000016-GENERAL_ADMINISTRATIF-23-kvar L3-JTVar,kvar,zone A-B-C-D L3 puissance reactive,,,
357,C00000016-GENERAL_ADMINISTRATIF-23-kvar sys-JTVar,kvar,zone A-B-C-D puissance reactive,,,
358,C00000016-GENERAL_ADMINISTRATIF-23-kWh (-)-JTWH,kWh,zone A-B-C-D quezaco3,,,
359,C00000016-GENERAL_ADMINISTRATIF-23-kvarh-JTVarH,kvarh,zone A-B-C-D quezaco4,,,
360,C00000015-F002-22-kVA L1-JTVA,kVA,Cegelec Vinci L1 puissance active,,,
361,C00000015-F002-22-kVA L2-JTVA,kVA,Cegelec Vinci L2 puissance active,,,
362,C00000015-F002-22-kVA L3-JTVA,kVA,Cegelec Vinci L3 puissance active,,,
363,C00000015-F002-22-kVA sys-JTVA,kVA,Cegelec Vinci puissance active,,,
364,C00000015-F002-22-kW L1-JTW,kW,Cegelec Vinci L1 puissance,,,
365,C00000015-F002-22-kW L2-JTW,kW,Cegelec Vinci L2 puissance,,,
366,C00000015-F002-22-kW L3-JTW,kW,Cegelec Vinci L3 puissance,,,
367,C00000015-F002-22-kW dmd-JTW,kW,Cegelec Vinci puissance demandée,,,
368,C00000015-F002-22-kW sys-JTW,kW,Cegelec Vinci puissance,,,
369,C00000015-F002-22-kWh (-)-JTWH,kWh,Cegelec Vinci quezaco2,,,
370,C00000015-F002-22-kWh L1-JTWH,kWh,Cegelec Vinci L1 energie,,,
371,C00000015-F002-22-kWh L2-JTWH,kWh,Cegelec Vinci L2 energie,,,
372,C00000015-F002-22-kWh L3-JTWH,kWh,Cegelec Vinci L3 energie,,,
373,C00000015-F002-22-kWh-JTWH,kWh,Cegelec Vinci energie,,,
374,C00000015-F002-22-kvar L1-JTVar,kvar,Cegelec Vinci L1 puissance reactive,,,
375,C00000015-F002-22-kvar L2-JTVar,kvar,Cegelec Vinci L2 puissance reactive,,,
376,C00000015-F002-22-kvar L3-JTVar,kvar,Cegelec Vinci L3 puissance reactive,,,
377,C00000015-F002-22-kvar sys-JTVar,kvar,Cegelec Vinci puissance reactive,,,
378,C00000015-F002-22-kWh (-)-JTWH,kWh,Cegelec Vinci quezaco3,,,
379,C00000015-F002-22-kvarh-JTVarH,kvarh,Cegelec Vinci quezaco4,,,
380,C00000014-F001-21-kVA L1-JTVA,kVA,Zone F L1 puissance active,,,
381,C00000014-F001-21-kVA L2-JTVA,kVA,Zone F L2 puissance active,,,
382,C00000014-F001-21-kVA L3-JTVA,kVA,Zone F L3 puissance active,,,
383,C00000014-F001-21-kVA sys-JTVA,kVA,Zone F puissance active,,,
384,C00000014-F001-21-kW L1-JTW,kW,Zone F L1 puissance,,,
385,C00000014-F001-21-kW L2-JTW,kW,Zone F L2 puissance,,,
386,C00000014-F001-21-kW L3-JTW,kW,Zone F L3 puissance,,,
387,C00000014-F001-21-kW dmd-JTW,kW,Zone F puissance demandée,,,
388,C00000014-F001-21-kW sys-JTW,kW,Zone F puissance,,,
389,C00000014-F001-21-kWh (-)-JTWH,kWh,Zone F quezaco2,,,
390,C00000014-F001-21-kWh L1-JTWH,kWh,Zone F L1 energie,,,
391,C00000014-F001-21-kWh L2-JTWH,kWh,Zone F L2 energie,,,
392,C00000014-F001-21-kWh L3-JTWH,kWh,Zone F L3 energie,,,
393,C00000014-F001-21-kWh-JTWH,kWh,Zone F energie,,,
394,C00000014-F001-21-kvar L1-JTVar,kvar,Zone F L1 puissance reactive,,,
395,C00000014-F001-21-kvar L2-JTVar,kvar,Zone F L2 puissance reactive,,,
396,C00000014-F001-21-kvar L3-JTVar,kvar,Zone F L3 puissance reactive,,,
397,C00000014-F001-21-kvar sys-JTVar,kvar,Zone F puissance reactive,,,
398,C00000014-F001-21-kWh (-)-JTWH,kWh,Zone F quezaco3,,,
399,C00000014-F001-21-kvarh-JTVarH,kvarh,Zone F quezaco4,,,
400,C00000012-E001-19-kVA L1-JTVA,kVA,Zone E  L1 puissance active,,,
401,C00000012-E001-19-kVA L2-JTVA,kVA,Zone E  L2 puissance active,,,
402,C00000012-E001-19-kVA L3-JTVA,kVA,Zone E  L3 puissance active,,,
403,C00000012-E001-19-kVA sys-JTVA,kVA,Zone E  puissance active,,,
404,C00000012-E001-19-kW L1-JTW,kW,Zone E  L1 puissance,,,
405,C00000012-E001-19-kW L2-JTW,kW,Zone E  L2 puissance,,,
406,C00000012-E001-19-kW L3-JTW,kW,Zone E  L3 puissance,,,
407,C00000012-E001-19-kW dmd-JTW,kW,Zone E  puissance demandée,,,
408,C00000012-E001-19-kW sys-JTW,kW,Zone E  puissance,,,
409,C00000012-E001-19-kWh (-)-JTWH,kWh,Zone E  quezaco2,,,
410,C00000012-E001-19-kWh L1-JTWH,kWh,Zone E  L1 energie,,,
411,C00000012-E001-19-kWh L2-JTWH,kWh,Zone E  L2 energie,,,
412,C00000012-E001-19-kWh L3-JTWH,kWh,Zone E  L3 energie,,,
413,C00000012-E001-19-kWh-JTWH,kWh,Zone E  energie,,,
414,C00000012-E001-19-kvar L1-JTVar,kvar,Zone E  L1 puissance reactive,,,
415,C00000012-E001-19-kvar L2-JTVar,kvar,Zone E  L2 puissance reactive,,,
416,C00000012-E001-19-kvar L3-JTVar,kvar,Zone E  L3 puissance reactive,,,
417,C00000012-E001-19-kvar sys-JTVar,kvar,Zone E  puissance reactive,,,
418,C00000012-E001-19-kWh (-)-JTWH,kWh,Zone E  quezaco3,,,
419,C00000012-E001-19-kvarh-JTVarH,kvarh,Zone E  quezaco4,,,
420,C00000013-E002-20-kVA L1-JTVA,kVA,Geodis L1 puissance active,,,
421,C00000013-E002-20-kVA L2-JTVA,kVA,Geodis L2 puissance active,,,
422,C00000013-E002-20-kVA L3-JTVA,kVA,Geodis L3 puissance active,,,
423,C00000013-E002-20-kVA sys-JTVA,kVA,Geodis puissance active,,,
424,C00000013-E002-20-kW L1-JTW,kW,Geodis L1 puissance,,,
425,C00000013-E002-20-kW L2-JTW,kW,Geodis L2 puissance,,,
426,C00000013-E002-20-kW L3-JTW,kW,Geodis L3 puissance,,,
427,C00000013-E002-20-kW dmd-JTW,kW,Geodis puissance demandée,,,
428,C00000013-E002-20-kW sys-JTW,kW,Geodis puissance,,,
429,C00000013-E002-20-kWh (-)-JTWH,kWh,Geodis quezaco2,,,
430,C00000013-E002-20-kWh L1-JTWH,kWh,Geodis L1 energie,,,
431,C00000013-E002-20-kWh L2-JTWH,kWh,Geodis L2 energie,,,
432,C00000013-E002-20-kWh L3-JTWH,kWh,Geodis L3 energie,,,
433,C00000013-E002-20-kWh-JTWH,kWh,Geodis energie,,,
434,C00000013-E002-20-kvar L1-JTVar,kvar,Geodis L1 puissance reactive,,,
435,C00000013-E002-20-kvar L2-JTVar,kvar,Geodis L2 puissance reactive,,,
436,C00000013-E002-20-kvar L3-JTVar,kvar,Geodis L3 puissance reactive,,,
437,C00000013-E002-20-kvar sys-JTVar,kvar,Geodis puissance reactive,,,
438,C00000013-E002-20-kWh (-)-JTWH,kWh,Geodis quezaco3,,,
439,C00000013-E002-20-kvarh-JTVarH,kvarh,Geodis quezaco4,,,
440,PV00000001-centrale SLS 80kWc-JTW-00,kW,centrale PV sls 80 kWc puissance PV,,,
441,PV00000001-centrale SLS 80kWc-JTWH-00,kWh,centrale PV sls 80 kWc compteur PV,,,
0,SIS-02-CL-01-XM00,%,Couverture nuageuse,0.0,100.0,INT
11,SIS-02-DP-01-XM00,°C,Point de rosée,-50.0,80.0,INT
22,SIS-02-HU-01-XM00,%,Humité ambiante,0.0,100.0,INT
43,SIS-02-PT-01-XM00,mbara,Pression atmosphérique,800.0,1200.0,INT
44,SIS-02-TT-01-XM00,°C,Température ambiante,-50.0,80.0,INT
